"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T16:45:20.000Z",92872,0,366572,8,0,17.81,1868080
"2026-05-16T16:45:40.000Z",93424,0,366572,8,0,17.93,1880404
"2026-05-16T16:46:00.000Z",94788,0,366572,8,0,17.93,1879960
"2026-05-16T16:46:20.000Z",93880,0,366572,8,0,17.9,1877760
"2026-05-16T16:46:40.000Z",112204,0,366572,8,0,17.83,1869708
"2026-05-16T16:47:00.000Z",113340,0,366572,8,0,17.83,1870124
"2026-05-16T16:47:20.000Z",113384,0,366572,8,0,17.83,1870400
"2026-05-16T16:47:40.000Z",96740,0,366572,8,0,17.84,1871004
"2026-05-16T16:48:00.000Z",96952,0,366572,8,0,17.84,1871220
"2026-05-16T16:48:20.000Z",97068,0,366572,8,0,17.84,1871404
"2026-05-16T16:48:40.000Z",95868,0,366572,8,0,17.9,1877176
"2026-05-16T16:49:00.000Z",95880,0,366572,8,0,17.89,1876188
"2026-05-16T16:49:20.000Z",95908,0,366572,8,0,17.97,1884728
"2026-05-16T16:49:40.000Z",105112,0,366572,8,0,17.8,1866896
"2026-05-16T16:50:00.000Z",106640,0,366572,8,0,17.81,1867652
"2026-05-16T16:50:20.000Z",107056,0,366572,8,0,17.81,1868096
"2026-05-16T16:50:40.000Z",114236,0,368636,8,0,18.22,1911132
"2026-05-16T16:51:00.000Z",114248,0,368636,8,0,18.1,1898412
"2026-05-16T16:51:20.000Z",114768,0,370700,8,0,18.28,1917456
"2026-05-16T16:51:40.000Z",113576,0,370700,8,0,18.12,1899976
"2026-05-16T16:52:00.000Z",105124,0,370700,8,0,18.19,1907580
"2026-05-16T16:52:20.000Z",105192,0,370700,8,0,18.27,1915772
"2026-05-16T16:52:40.000Z",104284,0,370700,8,0,18.32,1920912
"2026-05-16T16:53:00.000Z",96312,0,370700,8,0,18.3,1918884
"2026-05-16T16:53:20.000Z",99012,0,370700,8,0,18.45,1934984
"2026-05-16T16:53:40.000Z",98276,0,370700,8,0,18.36,1925772
"2026-05-16T16:54:00.000Z",91236,0,370700,8,0,18.37,1926892
"2026-05-16T16:54:20.000Z",94428,0,370700,8,0,18.43,1932480
"2026-05-16T16:54:40.000Z",93384,0,370700,8,0,18.35,1924884
"2026-05-16T16:55:00.000Z",98608,0,370700,8,0,18.38,1927796
"2026-05-16T16:55:20.000Z",99752,0,370700,8,0,18.43,1932992
"2026-05-16T16:55:40.000Z",99752,0,370700,8,0,18.22,1911012
"2026-05-16T16:56:00.000Z",93388,0,370700,8,0,18.43,1933012
"2026-05-16T16:56:20.000Z",93748,0,370700,8,0,18.21,1909316
"2026-05-16T16:56:40.000Z",93840,0,370700,8,0,18.2,1908556
"2026-05-16T16:57:00.000Z",99348,0,370700,8,0,18.36,1925496
"2026-05-16T16:57:20.000Z",99336,0,370700,8,0,18.27,1915652
"2026-05-16T16:57:40.000Z",98404,0,370700,8,0,18.23,1911632
"2026-05-16T16:58:00.000Z",95052,0,370700,8,0,18.44,1933480
"2026-05-16T16:58:20.000Z",95828,0,370700,8,0,18.29,1917744
"2026-05-16T16:58:40.000Z",95828,0,370700,8,0,18.25,1914408
"2026-05-16T16:59:00.000Z",97460,0,370700,8,0,18.23,1911556
"2026-05-16T16:59:20.000Z",97468,0,370700,8,0,18.19,1908056
"2026-05-16T16:59:40.000Z",97468,0,370700,8,0,18.25,1914288
"2026-05-16T17:00:00.000Z",99420,0,370700,8,0,18.26,1914924
"2026-05-16T17:00:20.000Z",99440,0,370700,8,0,18.37,1927008
"2026-05-16T17:00:40.000Z",98280,0,370700,8,0,18.52,1941948
"2026-05-16T17:01:00.000Z",97864,0,370700,8,0,18.35,1924372
"2026-05-16T17:01:20.000Z",97692,0,370700,8,0,18.31,1920684
"2026-05-16T17:01:40.000Z",96900,0,370700,8,0,18.24,1913360
"2026-05-16T17:02:00.000Z",96264,0,368636,8,0,18.15,1903548
"2026-05-16T17:02:20.000Z",96848,0,368636,8,0,18.35,1924964
"2026-05-16T17:02:40.000Z",124636,0,449636,8,0,19.33,2027036
"2026-05-16T17:03:00.000Z",131216,0,450756,8,0,19.17,2010140
"2026-05-16T17:03:20.000Z",131928,0,450976,8,0,19.07,1999488
"2026-05-16T17:03:40.000Z",192344,0,451080,8,0,19.1,2003456
"2026-05-16T17:04:00.000Z",213104,0,451108,8,0,19.03,1995476
"2026-05-16T17:04:20.000Z",213112,0,451116,8,0,19.14,2007268
"2026-05-16T17:04:40.000Z",213148,0,451152,8,0,19,1992856
"2026-05-16T17:05:00.000Z",117556,0,451168,8,0,19.28,2021712
"2026-05-16T17:05:20.000Z",117328,0,451184,8,0,19.18,2011920
"2026-05-16T17:05:40.000Z",115672,0,449140,8,0,18.68,1958584
"2026-05-16T17:06:00.000Z",114728,0,449140,8,0,18.82,1973692
"2026-05-16T17:06:20.000Z",109784,0,449140,8,0,18.79,1970356
"2026-05-16T17:06:40.000Z",109844,0,449140,8,0,18.67,1958072
"2026-05-16T17:07:00.000Z",108872,0,449140,8,0,18.67,1958028
"2026-05-16T17:07:20.000Z",121276,0,449140,8,0,18.65,1956296
"2026-05-16T17:07:40.000Z",120124,0,449148,8,0,18.64,1955348
"2026-05-16T17:08:00.000Z",122136,0,449148,8,0,18.69,1959852
"2026-05-16T17:08:20.000Z",112448,0,449196,8,0,18.62,1952548
"2026-05-16T17:08:40.000Z",113272,0,449204,8,0,18.62,1953184
"2026-05-16T17:09:00.000Z",110292,0,449212,8,0,18.59,1949612
"2026-05-16T17:09:20.000Z",130404,0,451288,8,0,18.96,1988012
"2026-05-16T17:09:40.000Z",128596,0,449248,8,0,18.59,1949652
"2026-05-16T17:10:00.000Z",130220,0,449268,8,0,18.6,1951188
"2026-05-16T17:10:20.000Z",118536,0,449284,8,0,18.67,1957788
"2026-05-16T17:10:40.000Z",118636,0,449296,8,0,18.65,1956104
"2026-05-16T17:11:00.000Z",118192,0,449304,8,0,18.66,1956560
"2026-05-16T17:11:20.000Z",121428,0,449304,8,0,18.62,1952632
"2026-05-16T17:11:40.000Z",120104,0,449400,8,0,18.6,1951040
"2026-05-16T17:12:00.000Z",123040,0,449400,8,0,18.63,1954152
"2026-05-16T17:12:20.000Z",124132,0,449400,8,0,18.57,1947848
"2026-05-16T17:12:40.000Z",123124,0,449400,8,0,18.57,1947816
"2026-05-16T17:13:00.000Z",124628,0,449400,8,0,18.9,1982644
"2026-05-16T17:13:20.000Z",125784,0,449416,8,0,18.59,1950120
"2026-05-16T17:13:40.000Z",125124,0,449424,8,0,18.71,1962380
"2026-05-16T17:14:00.000Z",125848,0,449444,8,0,18.6,1950968
"2026-05-16T17:14:20.000Z",121384,0,449444,8,0,18.6,1950984
"2026-05-16T17:14:40.000Z",121896,0,449444,8,0,18.6,1951112
"2026-05-16T17:15:00.000Z",118656,0,449444,8,0,18.66,1956596
"2026-05-16T17:15:20.000Z",122956,0,449444,8,0,18.62,1952468
"2026-05-16T17:15:40.000Z",122956,0,449444,8,0,18.6,1950800
"2026-05-16T17:16:00.000Z",124180,0,450476,8,0,18.79,1970644
"2026-05-16T17:16:20.000Z",126836,0,449444,8,0,18.62,1952380
"2026-05-16T17:16:40.000Z",126932,0,449444,8,0,18.8,1972064
"2026-05-16T17:17:00.000Z",126624,0,449444,8,0,18.61,1951596
"2026-05-16T17:17:20.000Z",121864,0,449444,8,0,18.63,1953780
"2026-05-16T17:17:40.000Z",103948,0,366772,8,0,17.91,1878580
"2026-05-16T17:18:00.000Z",105824,0,366772,8,0,17.81,1867492
"2026-05-16T17:18:20.000Z",107024,0,366772,8,0,17.84,1871292
"2026-05-16T17:18:40.000Z",99312,0,366772,8,0,17.85,1871628
"2026-05-16T17:19:00.000Z",100496,0,366772,8,0,17.84,1871080
"2026-05-16T17:19:20.000Z",100648,0,366772,8,0,17.85,1871756
"2026-05-16T17:19:40.000Z",109224,0,366772,8,0,17.93,1880844
"2026-05-16T17:20:00.000Z",109680,0,366772,8,0,17.85,1872064
"2026-05-16T17:20:20.000Z",109124,0,366772,8,0,17.9,1877760
"2026-05-16T17:20:40.000Z",104592,0,366772,8,0,17.82,1869236
"2026-05-16T17:21:00.000Z",105144,0,366792,8,0,17.88,1875448
"2026-05-16T17:21:20.000Z",105540,0,366792,8,0,17.88,1875248
"2026-05-16T17:21:40.000Z",108264,0,366792,8,0,17.81,1867724
"2026-05-16T17:22:00.000Z",109020,0,366792,8,0,17.83,1870316
"2026-05-16T17:22:20.000Z",105672,0,366792,8,0,17.78,1864284
"2026-05-16T17:22:40.000Z",95228,0,366792,8,0,17.78,1864316
"2026-05-16T17:23:00.000Z",95644,0,366792,8,0,17.78,1865044
"2026-05-16T17:23:20.000Z",96544,0,366792,8,0,17.79,1865504
"2026-05-16T17:23:40.000Z",89992,0,366792,8,0,17.79,1865504
"2026-05-16T17:24:00.000Z",90416,0,366792,8,0,17.79,1866100
"2026-05-16T17:24:20.000Z",90416,0,366792,8,0,17.79,1866112
"2026-05-16T17:24:40.000Z",90172,0,366792,8,0,17.8,1866284
"2026-05-16T17:25:00.000Z",90720,0,366792,8,0,17.82,1868684
"2026-05-16T17:25:20.000Z",90376,0,366792,8,0,17.82,1869336
"2026-05-16T17:25:40.000Z",91840,0,366792,8,0,17.83,1869760
"2026-05-16T17:26:00.000Z",92012,0,366792,8,0,17.83,1870036
"2026-05-16T17:26:20.000Z",91908,0,366704,8,0,17.81,1868100
"2026-05-16T17:26:40.000Z",97640,0,366704,8,0,17.81,1867932
"2026-05-16T17:27:00.000Z",97640,0,366704,8,0,17.81,1867940
"2026-05-16T17:27:20.000Z",97648,0,366704,8,0,17.81,1867960
"2026-05-16T17:27:40.000Z",90440,0,366704,8,0,17.81,1867960
"2026-05-16T17:28:00.000Z",90452,0,366704,8,0,17.81,1868036
"2026-05-16T17:28:20.000Z",90452,0,366704,8,0,17.81,1868048
"2026-05-16T17:28:40.000Z",94588,0,366704,8,0,17.81,1868048
"2026-05-16T17:29:00.000Z",94620,0,366704,8,0,17.81,1868056
"2026-05-16T17:29:20.000Z",94620,0,366704,8,0,17.81,1868056
"2026-05-16T17:29:40.000Z",93912,0,366704,8,0,17.81,1868064
"2026-05-16T17:30:00.000Z",93912,0,366704,8,0,17.81,1868064
"2026-05-16T17:30:20.000Z",93408,0,366704,8,0,17.8,1866376
"2026-05-16T17:30:40.000Z",93572,0,366704,8,0,17.8,1866544
"2026-05-16T17:31:00.000Z",93572,0,366704,8,0,17.8,1866564
"2026-05-16T17:31:20.000Z",93396,0,366704,8,0,17.79,1866060
"2026-05-16T17:31:40.000Z",93396,0,366704,8,0,17.79,1866068
"2026-05-16T17:32:00.000Z",92124,0,366704,8,0,17.79,1866252
"2026-05-16T17:32:20.000Z",92188,0,366704,8,0,17.79,1866268
"2026-05-16T17:32:40.000Z",92188,0,366704,8,0,17.79,1866268
"2026-05-16T17:33:00.000Z",91272,0,366704,8,0,17.79,1866272
"2026-05-16T17:33:20.000Z",90744,0,366704,8,0,17.78,1864804
"2026-05-16T17:33:40.000Z",90756,0,366704,8,0,17.78,1864752
"2026-05-16T17:34:00.000Z",89892,0,366704,8,0,17.77,1864056
"2026-05-16T17:34:20.000Z",91300,0,366704,8,0,17.78,1864304
"2026-05-16T17:34:40.000Z",91300,0,366704,8,0,17.78,1864304
"2026-05-16T17:35:00.000Z",96204,0,366704,8,0,17.78,1864304
"2026-05-16T17:35:20.000Z",96324,0,366704,8,0,17.78,1864672
"2026-05-16T17:35:40.000Z",96324,0,366704,8,0,17.78,1864916
"2026-05-16T17:36:00.000Z",91976,0,366704,8,0,17.78,1864872
"2026-05-16T17:36:20.000Z",92292,0,366704,8,0,17.79,1866276
"2026-05-16T17:36:40.000Z",90348,0,366704,8,0,17.78,1864520
"2026-05-16T17:37:00.000Z",90264,0,366704,8,0,17.77,1863792
"2026-05-16T17:37:20.000Z",93940,0,366704,8,0,17.78,1864904
"2026-05-16T17:37:40.000Z",93040,0,366704,8,0,17.78,1864200
"2026-05-16T17:38:00.000Z",90652,0,366704,8,0,17.77,1863848
"2026-05-16T17:38:20.000Z",91228,0,366704,8,0,17.78,1864252
"2026-05-16T17:38:40.000Z",91260,0,366704,8,0,17.78,1864252
"2026-05-16T17:39:00.000Z",95936,0,366704,8,0,17.78,1864336
"2026-05-16T17:39:20.000Z",95936,0,366704,8,0,17.78,1864348
"2026-05-16T17:39:40.000Z",95936,0,366704,8,0,17.78,1864352
"2026-05-16T17:40:00.000Z",92228,0,366704,8,0,17.78,1864704
"2026-05-16T17:40:20.000Z",91800,0,366704,8,0,17.79,1865604
"2026-05-16T17:40:40.000Z",91800,0,366704,8,0,17.79,1865920
"2026-05-16T17:41:00.000Z",95516,0,366704,8,0,17.79,1866104
"2026-05-16T17:41:20.000Z",95320,0,366704,8,0,17.8,1866344
"2026-05-16T17:41:40.000Z",93896,0,366704,8,0,17.78,1864424
"2026-05-16T17:42:00.000Z",90276,0,366704,8,0,17.78,1865092
"2026-05-16T17:42:20.000Z",93424,0,366704,8,0,17.78,1864972
"2026-05-16T17:42:40.000Z",92616,0,366704,8,0,17.78,1864516
"2026-05-16T17:43:00.000Z",92356,0,366704,8,0,17.78,1864412
"2026-05-16T17:43:20.000Z",93308,0,366704,8,0,17.78,1864628
"2026-05-16T17:43:40.000Z",93308,0,366704,8,0,17.78,1864624
"2026-05-16T17:44:00.000Z",87628,0,366704,8,0,17.78,1865060
"2026-05-16T17:44:20.000Z",88492,0,366704,8,0,17.78,1865112
"2026-05-16T17:44:40.000Z",88492,0,366704,8,0,17.78,1865116
"2026-05-16T17:45:00.000Z",93272,0,366704,8,0,17.78,1865136