"Time","Ballooned memory for esxilocal.hbmsolutions.mt","Host consumed % for esxilocal.hbmsolutions.mt","Consumed for esxilocal.hbmsolutions.mt"
"2026-05-23T18:55:00.000Z",0,92.68,9718559
"2026-05-23T19:00:00.000Z",0,92.92,9743430
"2026-05-23T19:05:00.000Z",0,92.71,9721626
"2026-05-23T19:10:00.000Z",0,92.73,9723885
"2026-05-23T19:15:00.000Z",0,92.99,9751235
"2026-05-23T19:20:00.000Z",0,92.88,9738738
"2026-05-23T19:25:00.000Z",0,92.48,9697390
"2026-05-23T19:30:00.000Z",0,92.63,9713417
"2026-05-23T19:35:00.000Z",0,92.5,9699554
"2026-05-23T19:40:00.000Z",0,91.45,9589309
"2026-05-23T19:45:00.000Z",0,90.81,9522117
"2026-05-23T19:50:00.000Z",0,90.64,9504474
"2026-05-23T19:55:00.000Z",0,90.91,9532537
"2026-05-23T20:00:00.000Z",0,91.24,9567550
"2026-05-23T20:05:00.000Z",0,92.12,9659919
"2026-05-23T20:10:00.000Z",0,92.66,9716392
"2026-05-23T20:15:00.000Z",0,92.95,9746235
"2026-05-23T20:20:00.000Z",0,93.18,9770265
"2026-05-23T20:25:00.000Z",0,92.9,9740804
"2026-05-23T20:30:00.000Z",0,93.18,9770864
"2026-05-23T20:35:00.000Z",0,92.83,9734112
"2026-05-23T20:40:00.000Z",0,92.94,9745958
"2026-05-23T20:45:00.000Z",0,91.84,9629730
"2026-05-23T20:50:00.000Z",0,91.41,9585630
"2026-05-23T20:55:00.000Z",0,92.06,9653164
"2026-05-23T21:00:00.000Z",0,92.49,9698116
"2026-05-23T21:05:00.000Z",0,92.9,9741611
"2026-05-23T21:10:00.000Z",0,92.97,9748575
"2026-05-23T21:15:00.000Z",0,92.85,9735724
"2026-05-23T21:20:00.000Z",0,92.9,9741003
"2026-05-23T21:25:00.000Z",0,92.88,9738780
"2026-05-23T21:30:00.000Z",0,93.06,9758452
"2026-05-23T21:35:00.000Z",0,93.07,9758689
"2026-05-23T21:40:00.000Z",0,92.8,9730666
"2026-05-23T21:45:00.000Z",0,92.16,9663531
"2026-05-23T21:50:00.000Z",0,91.95,9642095
"2026-05-23T21:55:00.000Z",0,91.92,9638573
"2026-05-23T22:00:00.000Z",0,92.41,9690345
"2026-05-23T22:05:00.000Z",0,92.71,9721866
"2026-05-23T22:10:00.000Z",0,92.83,9734307
"2026-05-23T22:15:00.000Z",0,92.84,9735269
"2026-05-23T22:20:00.000Z",0,92.81,9731841
"2026-05-23T22:25:00.000Z",0,92.85,9735871
"2026-05-23T22:30:00.000Z",0,92.75,9725224
"2026-05-23T22:35:00.000Z",0,92.49,9697905
"2026-05-23T22:40:00.000Z",0,92.28,9676461
"2026-05-23T22:45:00.000Z",0,92.03,9650167
"2026-05-23T22:50:00.000Z",0,92.09,9656696
"2026-05-23T22:55:00.000Z",0,92.33,9681016
"2026-05-23T23:00:00.000Z",0,92.67,9717721
"2026-05-23T23:05:00.000Z",0,92.75,9725853
"2026-05-23T23:10:00.000Z",0,92.81,9731753
"2026-05-23T23:15:00.000Z",0,92.78,9728497
"2026-05-23T23:20:00.000Z",0,92.74,9724971
"2026-05-23T23:25:00.000Z",0,92.82,9733273
"2026-05-23T23:30:00.000Z",0,92.64,9713673
"2026-05-23T23:35:00.000Z",0,92.73,9723852
"2026-05-23T23:40:00.000Z",0,92.8,9730417
"2026-05-23T23:45:00.000Z",0,92.25,9673291
"2026-05-23T23:50:00.000Z",0,92.35,9683227
"2026-05-23T23:55:00.000Z",0,92.46,9695502
"2026-05-24T00:00:00.000Z",0,92.72,9722059
"2026-05-24T00:05:00.000Z",0,92.79,9729531
"2026-05-24T00:10:00.000Z",0,92.69,9719438
"2026-05-24T00:15:00.000Z",0,92.68,9718627
"2026-05-24T00:20:00.000Z",0,92.61,9711419
"2026-05-24T00:25:00.000Z",0,92.44,9693255
"2026-05-24T00:30:00.000Z",0,92.37,9685351
"2026-05-24T00:35:00.000Z",0,92.71,9721412
"2026-05-24T00:40:00.000Z",0,92.53,9702058
"2026-05-24T00:45:00.000Z",0,91.85,9631016
"2026-05-24T00:50:00.000Z",0,92,9647218
"2026-05-24T00:55:00.000Z",0,92.01,9647585
"2026-05-24T01:00:00.000Z",0,91.8,9625412
"2026-05-24T01:05:00.000Z",0,92.26,9674220
"2026-05-24T01:10:00.000Z",0,92.66,9716037
"2026-05-24T01:15:00.000Z",0,92.64,9713949
"2026-05-24T01:20:00.000Z",0,92.63,9713440
"2026-05-24T01:25:00.000Z",0,92.59,9708755
"2026-05-24T01:30:00.000Z",0,93,9751413
"2026-05-24T01:35:00.000Z",0,92.95,9746073
"2026-05-24T01:40:00.000Z",0,92.56,9706042
"2026-05-24T01:45:00.000Z",0,91.84,9629966
"2026-05-24T01:50:00.000Z",0,92.28,9676392
"2026-05-24T01:55:00.000Z",0,91.91,9637055
"2026-05-24T02:00:00.000Z",0,91.2,9563538
"2026-05-24T02:05:00.000Z",0,91.74,9619801
"2026-05-24T02:10:00.000Z",0,92.42,9690821
"2026-05-24T02:15:00.000Z",0,92.64,9714436
"2026-05-24T02:20:00.000Z",0,92.39,9688056
"2026-05-24T02:25:00.000Z",0,92.39,9688304
"2026-05-24T02:30:00.000Z",0,92.55,9704571
"2026-05-24T02:35:00.000Z",0,92.84,9735292
"2026-05-24T02:40:00.000Z",0,92.98,9749586
"2026-05-24T02:45:00.000Z",0,92.15,9662434
"2026-05-24T02:50:00.000Z",0,92.25,9673341
"2026-05-24T02:55:00.000Z",0,92.37,9685297
"2026-05-24T03:00:00.000Z",0,92.08,9655421
"2026-05-24T03:05:00.000Z",0,92.34,9682396
"2026-05-24T03:10:00.000Z",0,92.64,9714258
"2026-05-24T03:15:00.000Z",0,92.65,9715239
"2026-05-24T03:20:00.000Z",0,92.63,9712656
"2026-05-24T03:25:00.000Z",0,92.62,9712266
"2026-05-24T03:30:00.000Z",0,93.17,9769544
"2026-05-24T03:35:00.000Z",0,92.54,9703330
"2026-05-24T03:40:00.000Z",0,92.31,9679237
"2026-05-24T03:45:00.000Z",0,91.99,9646120
"2026-05-24T03:50:00.000Z",0,92.01,9648149
"2026-05-24T03:55:00.000Z",0,91.28,9571544
"2026-05-24T04:00:00.000Z",0,91.4,9584334
"2026-05-24T04:05:00.000Z",0,92.07,9653884
"2026-05-24T04:10:00.000Z",0,92.54,9703169
"2026-05-24T04:15:00.000Z",0,92.53,9702257
"2026-05-24T04:20:00.000Z",0,92.32,9680656
"2026-05-24T04:25:00.000Z",0,92.25,9673615
"2026-05-24T04:30:00.000Z",0,92.7,9720070
"2026-05-24T04:35:00.000Z",0,92.58,9708245
"2026-05-24T04:40:00.000Z",0,92.61,9710445
"2026-05-24T04:45:00.000Z",0,92,9647057
"2026-05-24T04:50:00.000Z",0,91.89,9635906
"2026-05-24T04:55:00.000Z",0,91.77,9622226
"2026-05-24T05:00:00.000Z",0,91.61,9606413
"2026-05-24T05:05:00.000Z",0,92.28,9676381
"2026-05-24T05:10:00.000Z",0,92.52,9701721
"2026-05-24T05:15:00.000Z",0,92.47,9696121
"2026-05-24T05:20:00.000Z",0,92.57,9707104
"2026-05-24T05:25:00.000Z",0,92.46,9694760
"2026-05-24T05:30:00.000Z",0,92.33,9682022
"2026-05-24T05:35:00.000Z",0,92.3,9677986
"2026-05-24T05:40:00.000Z",0,92.22,9670281
"2026-05-24T05:45:00.000Z",0,91.42,9586322
"2026-05-24T05:50:00.000Z",0,90.99,9541647
"2026-05-24T05:55:00.000Z",0,90.98,9540213
"2026-05-24T06:00:00.000Z",0,90.82,9523654
"2026-05-24T06:05:00.000Z",0,91.21,9563754
"2026-05-24T06:10:00.000Z",0,91.78,9623528
"2026-05-24T06:15:00.000Z",0,91.96,9642242
"2026-05-24T06:20:00.000Z",0,91.76,9621698
"2026-05-24T06:25:00.000Z",0,91.43,9586866
"2026-05-24T06:30:00.000Z",0,92.21,9668737
"2026-05-24T06:35:00.000Z",0,92.62,9712339
"2026-05-24T06:40:00.000Z",0,92.4,9688968
"2026-05-24T06:45:00.000Z",0,91.86,9631994
"2026-05-24T06:50:00.000Z",0,91.9,9636456
"2026-05-24T06:55:00.000Z",0,92,9647254
"2026-05-24T07:00:00.000Z",0,92.19,9666782
"2026-05-24T07:05:00.000Z",0,92.56,9705618
"2026-05-24T07:10:00.000Z",0,92.79,9730060
"2026-05-24T07:15:00.000Z",0,92.79,9729858
"2026-05-24T07:20:00.000Z",0,92.78,9728877
"2026-05-24T07:25:00.000Z",0,92.7,9720553
"2026-05-24T07:30:00.000Z",0,92.77,9727477
"2026-05-24T07:35:00.000Z",0,92.76,9726269
"2026-05-24T07:40:00.000Z",0,92.6,9709528
"2026-05-24T07:45:00.000Z",0,92.08,9654959
"2026-05-24T07:50:00.000Z",0,92.11,9658179
"2026-05-24T07:55:00.000Z",0,92.16,9663973
"2026-05-24T08:00:00.000Z",0,92.27,9675342
"2026-05-24T08:05:00.000Z",0,92.47,9695953
"2026-05-24T08:10:00.000Z",0,92.66,9716564
"2026-05-24T08:15:00.000Z",0,92.66,9715963
"2026-05-24T08:20:00.000Z",0,92.7,9720286
"2026-05-24T08:25:00.000Z",0,92.75,9725358
"2026-05-24T08:30:00.000Z",0,93.08,9760475
"2026-05-24T08:35:00.000Z",0,92.83,9733990
"2026-05-24T08:40:00.000Z",0,92.81,9732359
"2026-05-24T08:45:00.000Z",0,92.17,9664440
"2026-05-24T08:50:00.000Z",0,91.88,9634269
"2026-05-24T08:55:00.000Z",0,91.83,9628790
"2026-05-24T09:00:00.000Z",0,91.72,9617974
"2026-05-24T09:05:00.000Z",0,92,9647267
"2026-05-24T09:10:00.000Z",0,92.44,9693213
"2026-05-24T09:15:00.000Z",0,92.7,9720290
"2026-05-24T09:20:00.000Z",0,92.71,9721576
"2026-05-24T09:25:00.000Z",0,92.72,9722527
"2026-05-24T09:30:00.000Z",0,92.24,9672277
"2026-05-24T09:35:00.000Z",0,91.77,9622560
"2026-05-24T09:40:00.000Z",0,91.89,9634906
"2026-05-24T09:45:00.000Z",0,91.36,9579430
"2026-05-24T09:50:00.000Z",0,91.17,9559943
"2026-05-24T09:55:00.000Z",0,91.05,9547307
"2026-05-24T10:00:00.000Z",0,91.31,9574316
"2026-05-24T10:05:00.000Z",0,91.97,9644121
"2026-05-24T10:10:00.000Z",0,92.54,9703261
"2026-05-24T10:15:00.000Z",0,92.74,9724377
"2026-05-24T10:20:00.000Z",0,92.68,9718541
"2026-05-24T10:25:00.000Z",0,92.58,9707773
"2026-05-24T10:30:00.000Z",0,92.9,9740877
"2026-05-24T10:35:00.000Z",0,92.37,9685763
"2026-05-24T10:40:00.000Z",0,92.64,9714565
"2026-05-24T10:45:00.000Z",0,92.23,9670785
"2026-05-24T10:50:00.000Z",0,92.35,9684282
"2026-05-24T10:55:00.000Z",0,92.49,9698070
"2026-05-24T11:00:00.000Z",0,92.36,9685152
"2026-05-24T11:05:00.000Z",0,92.03,9649773
"2026-05-24T11:10:00.000Z",0,92.39,9687619
"2026-05-24T11:15:00.000Z",0,92.6,9710100
"2026-05-24T11:20:00.000Z",0,92.69,9718988
"2026-05-24T11:25:00.000Z",0,92.69,9719021
"2026-05-24T11:30:00.000Z",0,92.89,9740264
"2026-05-24T11:35:00.000Z",0,92.66,9716368
"2026-05-24T11:40:00.000Z",0,92.21,9668837
"2026-05-24T11:45:00.000Z",0,91.71,9616524
"2026-05-24T11:50:00.000Z",0,90.57,9497312
"2026-05-24T11:55:00.000Z",0,90.76,9516473
"2026-05-24T12:00:00.000Z",0,91.08,9550676
"2026-05-24T12:05:00.000Z",0,91.71,9616555
"2026-05-24T12:10:00.000Z",0,92.39,9687592
"2026-05-24T12:15:00.000Z",0,92.65,9715598
"2026-05-24T12:20:00.000Z",0,92.64,9714201
"2026-05-24T12:25:00.000Z",0,92.73,9723869
"2026-05-24T12:30:00.000Z",0,92.69,9718955
"2026-05-24T12:35:00.000Z",0,92.95,9746728
"2026-05-24T12:40:00.000Z",0,92.67,9716991
"2026-05-24T12:45:00.000Z",0,91.83,9629131
"2026-05-24T12:50:00.000Z",0,91.93,9640227
"2026-05-24T12:55:00.000Z",0,92.23,9670678
"2026-05-24T13:00:00.000Z",0,92.35,9683604
"2026-05-24T13:05:00.000Z",0,92.72,9722567
"2026-05-24T13:10:00.000Z",0,92.73,9723234
"2026-05-24T13:15:00.000Z",0,92.71,9721360
"2026-05-24T13:20:00.000Z",0,92.6,9709674
"2026-05-24T13:25:00.000Z",0,92.31,9679507
"2026-05-24T13:30:00.000Z",0,92.15,9662713
"2026-05-24T13:35:00.000Z",0,92.51,9700433
"2026-05-24T13:40:00.000Z",0,92.66,9715888
"2026-05-24T13:45:00.000Z",0,91.95,9641409
"2026-05-24T13:50:00.000Z",0,91.84,9630100
"2026-05-24T13:55:00.000Z",0,92.18,9665288
"2026-05-24T14:00:00.000Z",0,92.4,9688968
"2026-05-24T14:05:00.000Z",0,93.28,9781057
"2026-05-24T14:10:00.000Z",0,92.95,9746150
"2026-05-24T14:15:00.000Z",0,92.82,9732419
"2026-05-24T14:20:00.000Z",0,92.73,9723409
"2026-05-24T14:25:00.000Z",0,92.75,9725280
"2026-05-24T14:30:00.000Z",0,92.16,9663966
"2026-05-24T14:35:00.000Z",0,92.77,9728297
"2026-05-24T14:40:00.000Z",0,92.77,9727399
"2026-05-24T14:45:00.000Z",0,91.32,9576205
"2026-05-24T14:50:00.000Z",0,92.16,9663116
"2026-05-24T14:55:00.000Z",0,92.79,9730175
"2026-05-24T15:00:00.000Z",0,93.21,9773284
"2026-05-24T15:05:00.000Z",0,93.19,9771421
"2026-05-24T15:10:00.000Z",0,92.89,9740278
"2026-05-24T15:15:00.000Z",0,92.81,9731993
"2026-05-24T15:20:00.000Z",0,92.66,9716137
"2026-05-24T15:25:00.000Z",0,92.11,9658834
"2026-05-24T15:30:00.000Z",0,91.77,9622402
"2026-05-24T15:35:00.000Z",0,92.75,9725985
"2026-05-24T15:40:00.000Z",0,92.87,9738265
"2026-05-24T15:45:00.000Z",0,92.49,9698850
"2026-05-24T15:50:00.000Z",0,92.03,9649777
"2026-05-24T15:55:00.000Z",0,91.32,9575578
"2026-05-24T16:00:00.000Z",0,91.04,9545921
"2026-05-24T16:05:00.000Z",0,91.44,9587829
"2026-05-24T16:10:00.000Z",0,92.37,9686149
"2026-05-24T16:15:00.000Z",0,92.66,9715903
"2026-05-24T16:20:00.000Z",0,92.58,9707967
"2026-05-24T16:25:00.000Z",0,92.28,9675981
"2026-05-24T16:30:00.000Z",0,91.72,9617627
"2026-05-24T16:35:00.000Z",0,91.51,9595593
"2026-05-24T16:40:00.000Z",0,91.72,9616993
"2026-05-24T16:45:00.000Z",0,91.36,9579364
"2026-05-24T16:50:00.000Z",0,91.19,9562374
"2026-05-24T16:55:00.000Z",0,91.51,9595213
"2026-05-24T17:00:00.000Z",0,91.84,9630337
"2026-05-24T17:05:00.000Z",0,92.39,9687711
"2026-05-24T17:10:00.000Z",0,92.78,9729311
"2026-05-24T17:15:00.000Z",0,92.5,9699725
"2026-05-24T17:20:00.000Z",0,92.16,9663243
"2026-05-24T17:25:00.000Z",0,90.97,9539436
"2026-05-24T17:30:00.000Z",0,91.81,9627119
"2026-05-24T17:35:00.000Z",0,92.11,9658623
"2026-05-24T17:40:00.000Z",0,91.79,9624962
"2026-05-24T17:45:00.000Z",0,91.72,9617859
"2026-05-24T17:50:00.000Z",0,91.51,9595665
"2026-05-24T17:55:00.000Z",0,92.6,9709510
"2026-05-24T18:00:00.000Z",0,92.35,9684066
"2026-05-24T18:05:00.000Z",0,92.97,9748332
"2026-05-24T18:10:00.000Z",0,93.36,9789226
"2026-05-24T18:15:00.000Z",0,93.24,9777130
"2026-05-24T18:20:00.000Z",0,93.21,9773833
"2026-05-24T18:25:00.000Z",0,92.98,9749992
"2026-05-24T18:30:00.000Z",0,92.84,9734768
"2026-05-24T18:35:00.000Z",0,92.9,9741947
"2026-05-24T18:40:00.000Z",0,92.98,9749172
"2026-05-24T18:45:00.000Z",0,92.08,9655588
"2026-05-24T18:50:00.000Z",0,92.14,9661953